countrycode,closing_date,ebitda,r_d_expenses_operating_revenue,research_development_expenses,number_of_employees,Acquired stake (%)_0_10,Acquired stake (%)_10_20,Acquired stake (%)_20_30,Acquired stake (%)_30_40,Acquired stake (%)_40_50,Acquired stake (%)_0_25,Acquired stake (%)_25_50,Acquired stake (%)_0_50,Final stake (%)_0_10,Final stake (%)_10_20,Final stake (%)_20_30,Final stake (%)_30_40,Final stake (%)_40_50,Final stake (%)_0_25,Final stake (%)_25_50,Score-protecting minority investors,Reform,is_reform
FR,2011,48318022000.0,-0.6555287744387871,6017219000.0,995411.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.333333333333,,
FR,2012,42860391000.0,0.15125620487539504,5523236000.0,1072793.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.333333333333,,
FR,2013,39927920000.0,1.6447176301636466,5151217000.0,1033905.0,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,53.333333333333,,
FR,2014,37407662000.0,1.2833240248067952,5045392000.0,699034.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68.0,,
FR,2015,38407679000.0,-1.3851616281431536,6253801000.0,892029.0,6,0,0,0,0,6,0,6,1,3,0,0,2,4,2,68.0,,
FR,2016,39274780000.0,-1.263413173545503,5704266000.0,476412.0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,68.0,,
FR,2017,38468373000.0,-0.1028947763149351,6211963000.0,517556.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68.0,,
FR,2018,766349000.0,2.0047789369393425,211098000.0,13742.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68.0,,
GB,1988,137551403.0,-0.3296631855426079,0.0,7148.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
GB,1989,140337560.0,-0.3296631855426079,0.0,7060.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
GB,1990,144019114.0,-0.3296631855426079,0.0,6920.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
GB,1991,204133608.0,-0.3296631855426079,0.0,6691.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
