countrycode,closing_date,ebitda,r_d_expenses_operating_revenue,research_development_expenses,number_of_employees,"Deal value
m EUR",Acquired stake (%)_0_10,Acquired stake (%)_10_20,Acquired stake (%)_20_30,Acquired stake (%)_30_40,Acquired stake (%)_40_50,Acquired stake (%)_0_25,Acquired stake (%)_25_50,Acquired stake (%)_0_50,Total deal value for Acquired stake (%)0_10,Total deal value for Acquired stake (%)_10_20,Total deal value for Acquired stake (%)_20_30,Total deal value for Acquired stake (%)_30_40,Total deal value for Acquired stake (%)_40_50,Total deal value for Acquired stake (%)_0_25,Total deal value for Acquired stake (%)_25_50,Total deal value for Acquired stake (%)_0_50,Final stake (%)_0_10,Final stake (%)_10_20,Final stake (%)_20_30,Final stake (%)_30_40,Final stake (%)_40_50,Final stake (%)_0_25,Final stake (%)_25_50,Score-protecting minority investors,Reform,is_reform
ID,2006,142571000.0,-2.348742616072648,0.0,10962.0,0.0,1,0,0,0,0,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,1,56.666666666667,,
ID,2007,233621000.0,-2.348742616072648,0.0,9722.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,56.666666666667,,
ID,2008,146213276.0,-2.818491139287178,0.0,11524.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,56.666666666667,Indonesia strengthened investor protections by expanding the already extensive disclosure requirements for companies listed on the stock exchange.,True
ID,2009,187423337.0,-2.818491139287178,0.0,9805.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,56.666666666667,,
ID,2010,414380457.0,-3.053365400894443,0.0,11617.0,1.38,1,0,0,0,0,1,0,1,1.38,0.0,0.0,0.0,0.0,1.38,0.0,1.38,0,1,0,0,0,1,0,60.0,Indonesia strengthened investor protections by increasing disclosure requirements for related-party transactions.,True
ID,2011,559724389.0,-3.992862447323502,0.0,12096.0,0.7,2,1,2,0,0,3,2,5,0.08,0.18,0.44,0.0,0.0,0.26,0.44,0.7,0,1,2,0,2,2,3,60.0,,
ID,2012,772122925.0,-3.5231139241089724,0.0,33532.0,58.769999999999996,2,1,0,0,0,3,0,3,58.25,0.52,0.0,0.0,0.0,58.769999999999996,0.0,58.769999999999996,1,0,1,1,0,1,2,60.0,,
ID,2013,1036807446.0,-3.757988185716237,0.0,52515.0,330.03000000000003,2,1,0,0,0,3,0,3,315.93,14.1,0.0,0.0,0.0,330.03000000000003,0.0,330.03000000000003,0,3,0,0,0,3,0,60.0,,
ID,2014,899362623.0,-3.5231139241089724,0.0,39110.0,130.82999999999998,1,0,1,0,0,1,1,2,3.53,0.0,127.3,0.0,0.0,3.53,127.3,130.82999999999998,0,0,0,2,0,0,2,60.0,,
ID,2015,853467141.0,-3.5231139241089724,0.0,38183.0,9.33,1,0,0,0,0,1,0,1,9.33,0.0,0.0,0.0,0.0,9.33,0.0,9.33,0,0,0,1,0,0,1,60.0,,
ID,2016,931319116.0,-3.4731065512921226,67725.0,42906.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,64.0,,
ID,2017,1181910304.0,-3.9234973818033554,71377.0,46927.0,148.72,4,1,0,0,1,5,1,6,31.840000000000003,1.51,0.0,0.0,115.37,33.35,115.37,148.72,0,0,1,2,3,0,6,64.0,,
IN,1998,192024595.0,-0.46652224109731355,1957.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,,,
IN,1999,70695685.0,-0.46006967686288125,6587.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,,,
IN,2000,90003312.0,-0.7046227848217945,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,,,
IN,2001,156351402.0,-0.9249787769015867,7404.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,,,
IN,2002,49486693.0,-1.1114588067506097,18157.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,,,
IN,2003,174947434.0,-0.1435834063250906,11385730.0,0.0,27.11,0,0,1,1,1,0,3,3,0.0,0.0,19.58,7.49,0.04,0.0,27.11,27.11,0,0,0,2,1,0,3,,,
IN,2004,385569487.0,1.6305288135055562,15684184.0,23.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,,,
