countrycode,closing_date,ebitda,r_d_expenses_operating_revenue,research_development_expenses,number_of_employees,Acquired stake (%)_0_10,Acquired stake (%)_10_20,Acquired stake (%)_20_30,Acquired stake (%)_30_40,Acquired stake (%)_40_50,Acquired stake (%)_0_25,Acquired stake (%)_25_50,Acquired stake (%)_0_50,Final stake (%)_0_10,Final stake (%)_10_20,Final stake (%)_20_30,Final stake (%)_30_40,Final stake (%)_40_50,Final stake (%)_0_25,Final stake (%)_25_50,Score-protecting minority investors,Reform,is_reform
KY,2013,1939613201.0,5.651079131398071,295843105.0,167549.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
KY,2014,1333272330.0,7.111057767420682,420535105.0,137363.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
KY,2015,1742697900.0,17.13998659114313,574243859.0,132423.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
KY,2016,1525926182.0,8.5240091070788,1148947070.0,136979.0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,,,
KY,2017,2584888640.0,14.317397735761883,1101019292.0,138030.0,0,1,0,0,1,1,1,2,0,0,0,1,1,0,2,,,
MY,1998,54000.0,-0.3116019634947165,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
MY,1999,15706000.0,-0.3116019634947165,0.0,99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
MY,2000,16344000.0,-0.3116019634947165,0.0,104.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
MY,2001,22620000.0,-0.9348058904841496,0.0,939.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
MY,2002,570884000.0,-2.439402839468063,1878000.0,30714.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
MY,2003,2063097829.0,-8.321688096946485,7835420.0,79202.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
MY,2004,2496368822.0,-17.22983429345014,6534190.0,104392.0,2,1,0,0,0,3,0,3,0,0,2,0,1,2,1,,,
MY,2005,2618690267.0,-20.381596993915306,6019420.0,110803.0,1,3,1,0,1,5,1,6,0,4,1,0,1,5,1,,,
MY,2006,2693716644.0,-18.740978198389094,15577570.0,64852.0,0,0,0,1,1,0,2,2,0,0,0,1,1,0,2,86.666666666667,,
MY,2007,3231063530.0,-9.65191530770198,5145501.0,30490.0,3,0,1,2,2,3,5,8,1,1,2,2,2,3,5,86.666666666667,,
MY,2008,2801160442.0,-19.54150846094714,10905339.0,31208.0,2,1,0,2,1,3,3,6,0,2,0,3,1,2,4,86.666666666667,,
MY,2009,2729241041.0,-6.269978246583061,9367538.0,33345.0,6,3,0,0,2,7,2,9,1,5,1,0,2,7,2,86.666666666667,,
MY,2010,4084253108.0,-16.23280374948042,15503283.0,34398.0,4,2,2,0,1,7,2,9,1,2,3,1,2,5,4,86.666666666667,,
MY,2011,16203038119.0,-20.236682670462173,27082461.0,36252.0,18,0,1,1,0,18,2,20,3,14,1,2,0,17,3,86.666666666667,,
MY,2012,5637899219.0,-13.77713732852962,14806024.0,43651.0,0,0,1,2,0,1,2,3,0,0,1,2,0,1,2,86.666666666667,,
MY,2013,4448859361.0,-7.825417696823588,13389330.0,56375.0,1,1,2,0,0,2,2,4,0,2,2,0,0,2,2,86.666666666667,,
MY,2014,4775634398.0,-21.431020414992897,29709674.0,41111.0,1,0,2,2,0,2,3,5,0,0,2,3,0,1,4,86.0,,
MY,2015,3905412913.0,-14.027874627047824,30094732.0,50808.0,0,1,4,2,0,1,6,7,0,1,4,2,0,1,6,86.0,,
MY,2016,4226570921.0,-15.1178590804498,45250158.0,56033.0,3,3,3,0,0,7,2,9,1,4,4,0,0,6,3,86.0,,
